T,TM,tm,H,P,VV,V,VM
,,,,,,,
29.7,35,21.2,48,0,2.6,8.5,18.3
29.6,35,22,48,0,2.6,10.6,22.2
30.3,35.5,21.2,42,0,2.4,9.6,22.2
,,,,,,,
,,,,,,,
,,,,,,,
31,36.3,25,60,0,2.7,10.4,20.6
29.3,33.5,25,62,-,2.9,11.3,24.1
26.9,31.5,25,76,-,2.4,10.4,20.6
,,,,,,,
,,,,,,,
,,,,,,,
30.7,35.8,26.4,61,0,1.9,10.6,18.3
30,35,24.3,53,0,2.1,8.3,18.3
29.2,34.7,22.3,53,0,2.4,7.8,18.3
,,,,,,,
,,,,,,,
,,,,,,,
29.2,34.9,23.2,50,0,1.9,9.6,18.3
28.7,34.5,20.9,50,0,2.1,9.1,18.3
27.7,34.8,19.2,50,0,1.8,7.8,16.5
,,,,,,,
,,,,,,,
,,,,,,,
28.3,34.3,19.8,38,0,2.6,9.3,20.6
28.3,35.3,19.4,43,0,2.3,8,16.5
28.6,34.5,21.4,50,0,2.3,7.8,20.6
,,,,,,,
,,,,,,,
,,,,,,,
27.9,34,18.2,42,0,2.4,7.2,20.6
27.8,34.8,18.4,45,0,1.9,6.7,14.8
27.2,33.3,19,53,0,1.9,5.6,14.8
,,,,,,,
,,,,,,,
,,,,,,,
26.2,31.3,23,77,0,1.9,8.7,18.3
24.4,30,19,42,0,2.4,9.4,20.6
24.1,31.4,14,34,0,2.6,9.3,22.2
,,,,,,,
,,,,,,,
,,,,,,,
26.7,32.4,19.9,35,0,2.6,10.4,20.6
25.8,32.8,21,47,0,2.3,8.1,16.5
25.7,33.2,20,49,0,2.1,7.4,18.3
,,,,,,,
,,,,,,,
,,,,,,,
25.7,32,17.4,55,0,1.8,6.3,14.8
26.4,32.4,21.8,42,0,2.4,12.8,24.1
25.3,31.6,20.4,39,0,2.6,10,22.2
,,,,,,,
,,,,,,,
,,,,,,,
-,-,-,-,-,-,-,-
23.1,27.3,17,60,0,1.9,8.9,20.6
23.6,27.6,18,65,0,1.8,5.7,14.8
24,29,18.4,65,0,1.8,6.7,18.3
,,,,,,,
,,,,,,,
,,,,,,,
24.9,30.3,18.3,49,0,1.9,6.3,16.5
25.1,31.2,16,43,0,2.1,6.3,16.5
26.2,33,20.4,31,0,2.4,10.2,20.6
,,,,,,,
,,,,,,,
,,,,,,,
24.8,32,15.4,44,0,2.1,8,18.3
23.9,29.7,15.8,55,0,1.8,6.9,18.3
24.6,30,15.4,51,0,1.8,5.9,14.8
,,,,,,,
,,,,,,,
,,,,,,,
24.3,30,17.4,68,0,1.8,7.4,20.6
24.8,29.3,18.7,59,0,1.9,6.7,18.3
25.1,29,17,54,0,2.4,6.7,22.2
,,,,,,,
,,,,,,,
,,,,,,,
25.4,30,20,56,0,2.3,8.7,20.6
23.8,29.7,19,57,0,2.3,9.4,20.6
23.3,29,17.6,58,0,2.3,9.6,22.2
,,,,,,,
,,,,,,,
,,,,,,,
27.7,34.3,22,40,0,2.9,7.8,18.3
26.4,33.2,19,48,0,2.7,6.7,20.6
25.2,29.6,18.9,56,0,2.9,6.9,20.6
26.5,31.8,19,47,0,2.6,6.7,16.5
,,,,,,,
,,,,,,,
,,,,,,,
24.9,29.8,19.1,67,0,2.6,9.4,22.2
24.6,29.9,19.3,56,0,3.5,8.1,22.2
25.9,32.8,17,50,0,3.1,7.8,22.2
,,,,,,,
,,,,,,,
,,,,,,,
